framework	query	avg_ms	rows
ibex	mean_by_symbol	46.593	252
ibex	ohlc_by_symbol	51.209	252
ibex	update_price_x2	3.541	4000000
ibex+parse	mean_by_symbol	44.917	252
ibex+parse	ohlc_by_symbol	50.538	252
ibex+parse	update_price_x2	3.208	4000000
ibex	count_by_symbol_day	137.806	1008
ibex	mean_by_symbol_day	138.275	1008
ibex	ohlc_by_symbol_day	154.462	1008
