framework	query	avg_ms	rows
pandas	mean_by_symbol	180.240	252
pandas	ohlc_by_symbol	195.692	252
pandas	update_price_x2	5.424	4000000
pandas	count_by_symbol_day	314.466	1008
pandas	mean_by_symbol_day	318.336	1008
pandas	ohlc_by_symbol_day	337.987	1008
polars	mean_by_symbol	34.850	252
polars	ohlc_by_symbol	28.738	252
polars	update_price_x2	2.774	4000000
polars	count_by_symbol_day	51.821	1008
polars	mean_by_symbol_day	53.476	1008
polars	ohlc_by_symbol_day	57.493	1008
