framework	query	avg_ms	rows
data.table	mean_by_symbol	28.200	252
data.table	ohlc_by_symbol	33.000	252
dplyr	mean_by_symbol	53.400	252
dplyr	ohlc_by_symbol	55.600	252
data.table	count_by_symbol_day	26.800	1008
data.table	mean_by_symbol_day	31.000	1008
data.table	ohlc_by_symbol_day	31.000	1008
dplyr	count_by_symbol_day	105.400	1008
dplyr	mean_by_symbol_day	128.000	1008
dplyr	ohlc_by_symbol_day	145.200	1008
